field_1,s_id,nzsegment,nzreach,nztme,nztmn,long,lat,period,np_id,np_id_name,np_id_units,q_5,q_20,q_25,median,q_75,q_80,q_95,g_540,g_260,ann_max,nof_swim,nof_toxicity,anzg_meet,mci_band,sof,climate,src_of_flw,dominant_landcover,n_values,n_rightcensored,n_leftcensored,dl,al,imputed_lower,imputed_upper,month_ok,quarter_ok,year_ok,c_q_5,c_q_20,c_q_25,c_median,c_q_75,c_q_80,c_q_95,c_ann_max,sid,river,location,sitename,siteid,rcid,councilsiteid,councilsit,landcover,nzmge,nzmgn,anz_dgv_q80,anz_dgv_q20
2019,ECAN-00114,13084605,13017244,1583535.14460002,5273788.47849947,172.799011230642,-42.6882095347385,2013-2017,ECOLI,E. coli,cfu/100mL,4.4,16,16,28.5,45,53.9,135,0,0.0344827586206897,488,NA,NA,NA,NA,CW/M,CW,M,Native,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,4.4,16,16,28.5,45,53.9,135,488,NA,Waiau River,Above Second Bridge At Leslie Hills,Waiau River at Above Second Bridge at Leslie Hills,Waiau River u/s Leslie Hills Road,ECAN,SQ34704,NA,IF,2493583,5835461,NA,NA
2020,ECAN-00114,13084605,13017244,1583535.14460002,5273788.47849947,172.799011230642,-42.6882095347385,2013-2017,CLAR,Clarity,m,0.073,0.177,0.235,0.415,0.975,1.24962,3.497,NA,NA,6.69,NA,NA,Does not meet,NA,CW/M,CW,M,Native,56,1,0,NA,NA,No censored - no imputation required,Imputed,TRUE,FALSE,FALSE,0.073,0.177,0.235,0.415,0.975,>1.2,NA,NA,NA,Waiau River,Above Second Bridge At Leslie Hills,Waiau River at Above Second Bridge at Leslie Hills,Waiau River u/s Leslie Hills Road,ECAN,SQ34704,NA,IF,2493583,5835461,NA,1
2021,ECAN-00114,13084605,13017244,1583535.14460002,5273788.47849947,172.799011230642,-42.6882095347385,2013-2017,NO3N,Nitrate-nitrogen,g/m3,0.00395,0.0164,0.021,0.039,0.076,0.081,0.1248,NA,NA,0.28,NA,A,Does not meet,NA,CW/M,CW,M,Native,58,0,1,0.002,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,0.00395,0.0164,0.021,0.039,0.076,0.081,0.1248,0.28,NA,Waiau River,Above Second Bridge At Leslie Hills,Waiau River at Above Second Bridge at Leslie Hills,Waiau River u/s Leslie Hills Road,ECAN,SQ34704,NA,IF,2493583,5835461,24,NA
2022,ECAN-00114,13084605,13017244,1583535.14460002,5273788.47849947,172.799011230642,-42.6882095347385,2013-2017,TP,Total phosphorus,g/m3,0.00163,0.0051,0.006,0.011,0.027,0.0339,0.1188,NA,NA,0.75,NA,NA,Meets,NA,CW/M,CW,M,Native,58,0,6,0.004,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.004,0.0051,0.006,0.011,0.027,0.0339,0.1188,0.75,NA,Waiau River,Above Second Bridge At Leslie Hills,Waiau River at Above Second Bridge at Leslie Hills,Waiau River u/s Leslie Hills Road,ECAN,SQ34704,NA,IF,2493583,5835461,17,NA
2023,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,TP,Total phosphorus,g/m3,0.00119,0.0049,0.0055,0.009,0.0295,0.031,0.0498,NA,NA,0.75,NA,NA,Meets,NA,CW/M,CW,M,Native,32,0,5,0.004,NA,Imputed,No censored - no imputation required,FALSE,TRUE,FALSE,<0.004,0.0049,0.0055,0.009,0.0295,0.031,0.0498,0.75,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,17,NA
2024,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,NH4N_adj,Ammoniacal nitrogen (adjusted),g/m3,0.00177,0.00213,0.00216,0.00286,0.00365,0.0039,0.00508,NA,NA,0.00864014436605513,NA,A,NA,NA,CW/M,CW,M,Native,32,0,27,0.00798758589811315,NA,Not Imputed - model fit failed,No censored - no imputation required,FALSE,TRUE,FALSE,<0.00798758589811315,<0.00798758589811315,<0.00798758589811315,<0.00798758589811315,<0.00798758589811315,<0.00798758589811315,NA,0.00864014436605513,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,NA,NA
2025,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,NH4N,Ammoniacal nitrogen,g/m3,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,NA,NA,0.021,NA,NA,Meets,NA,CW/M,CW,M,Native,32,0,27,0.01,NA,Not Imputed - model fit failed,No censored - no imputation required,FALSE,TRUE,FALSE,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,NA,0.021,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,5,NA
2026,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,ECOLI,E. coli,cfu/100mL,8.35,17.9,20,44,120.75,145.3,365.65,0.012987012987013,0.103896103896104,548,A,NA,NA,NA,CW/M,CW,M,Native,77,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,FALSE,TRUE,FALSE,8.35,17.9,20,44,120.75,145.3,365.65,548,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,NA,NA
2027,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,TN,Total nitrogen,g/m3,0.0431,0.0479,0.0545,0.093,0.1265,0.156,0.421,NA,NA,0.59,NA,NA,Does not meet,NA,CW/M,CW,M,Native,32,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,FALSE,TRUE,FALSE,0.0431,0.0479,0.0545,0.093,0.1265,0.156,0.421,0.59,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,85,NA
2028,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,NO3N,Nitrate-nitrogen,g/m3,0.0194,0.0319,0.0375,0.077,0.1115,0.1166,0.1882,NA,NA,0.37,NA,A,Does not meet,NA,CW/M,CW,M,Native,32,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,FALSE,TRUE,FALSE,0.0194,0.0319,0.0375,0.077,0.1115,0.1166,0.1882,0.37,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,24,NA
2029,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,DRP,Dissolved reactive phosphorus,g/m3,0.00102,0.002,0.002,0.004,0.00495,0.00508,0.0069,NA,NA,0.011,NA,NA,Meets,NA,CW/M,CW,M,Native,32,0,3,0.001,NA,Imputed,No censored - no imputation required,FALSE,TRUE,FALSE,<0.001,0.002,0.002,0.004,0.00495,0.00508,0.0069,0.011,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,4,NA
2030,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,CLAR,Clarity,m,0.1005,0.2,0.25,0.55,1.26,1.50362,3.6055,NA,NA,4.34,NA,NA,Does not meet,NA,CW/M,CW,M,Native,31,1,0,NA,NA,No censored - no imputation required,Imputed,FALSE,TRUE,FALSE,0.1005,0.2,0.25,0.55,>1.2,>1.2,NA,NA,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,NA,1
2031,ECAN-00115,13083163,13016300,1602857.775,5277566.84159947,173.03486633262,-42.6543540960157,2013-2017,TURB,Turbidity,NTU,1.007,3.05,4.1,10,24,28.1,66.8,NA,NA,970,NA,NA,Does not meet,NA,CW/M,CW,M,Native,32,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,FALSE,TRUE,FALSE,1.007,3.05,4.1,10,24,28.1,66.8,970,NA,Waiau River,"Above Waiau Bridge, Near Township - Sth Bank.",Waiau River at Above Waiau Bridge near township - Sth Bank.,Waiau River u/s Waiau bridge,ECAN,SQ34705,NA,T,2512580,5839167,4.6,NA
2032,ECAN-00116,13086408,13018427,1623270.94249999,5270332.29199947,173.284212702636,-42.7191581335324,2013-2017,TURB,Turbidity,NTU,1.024,2.01,2.6,9.85,25,28,461.2,NA,NA,760,NA,NA,Does not meet,NA,CW/H,CW,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,1.024,2.01,2.6,9.85,25,28,461.2,760,NA,Waiau River,"Above SH1, Below Rail Bridge",Waiau River at Above SH1 Below rail Bridge,Waiau River u/s SH1,ECAN,SQ34706,NA,P,2533286,5831982,2.4,NA
2033,ECAN-00116,13086408,13018427,1623270.94249999,5270332.29199947,173.284212702636,-42.7191581335324,2013-2017,DRP,Dissolved reactive phosphorus,g/m3,0.00091,0.0015,0.0017,0.0037,0.005,0.00539,0.00926,NA,NA,0.028,NA,NA,Meets,NA,CW/H,CW,H,Pastoral,58,0,9,0.001,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.001,0.0015,0.0017,0.0037,0.005,0.00539,0.00926,0.028,NA,Waiau River,"Above SH1, Below Rail Bridge",Waiau River at Above SH1 Below rail Bridge,Waiau River u/s SH1,ECAN,SQ34706,NA,P,2533286,5831982,8,NA
2035,ECAN-00116,13086408,13018427,1623270.94249999,5270332.29199947,173.284212702636,-42.7191581335324,2013-2017,TP,Total phosphorus,g/m3,0.00044,0.00179,0.00241,0.0085,0.022,0.026,0.4064,NA,NA,0.64,NA,NA,Meets,NA,CW/H,CW,H,Pastoral,58,0,16,0.004,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.004,<0.004,<0.004,0.0085,0.022,0.026,0.4064,0.64,NA,Waiau River,"Above SH1, Below Rail Bridge",Waiau River at Above SH1 Below rail Bridge,Waiau River u/s SH1,ECAN,SQ34706,NA,P,2533286,5831982,16,NA
2036,ECAN-00116,13086408,13018427,1623270.94249999,5270332.29199947,173.284212702636,-42.7191581335324,2013-2017,NH4N_adj,Ammoniacal nitrogen (adjusted),g/m3,0.00276,0.00316,0.00328,0.00369,0.00427,0.00437,0.00602,NA,NA,0.0109881405826291,NA,A,NA,NA,CW/H,CW,H,Pastoral,58,0,46,0.0106620003142532,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.0106620003142532,<0.0106620003142532,<0.0106620003142532,<0.0106620003142532,<0.0106620003142532,<0.0106620003142532,NA,0.0109881405826291,NA,Waiau River,"Above SH1, Below Rail Bridge",Waiau River at Above SH1 Below rail Bridge,Waiau River u/s SH1,ECAN,SQ34706,NA,P,2533286,5831982,NA,NA
2037,ECAN-00116,13086408,13018427,1623270.94249999,5270332.29199947,173.284212702636,-42.7191581335324,2013-2017,ECOLI,E. coli,cfu/100mL,16.8,40,47,88,205,246.8,797.6,0.0862068965517241,0.172413793103448,1747.65937621271,NA,NA,NA,NA,CW/H,CW,H,Pastoral,58,1,0,NA,NA,No censored - no imputation required,Imputed,TRUE,FALSE,FALSE,16.8,40,47,88,205,246.8,797.6,NA,NA,Waiau River,"Above SH1, Below Rail Bridge",Waiau River at Above SH1 Below rail Bridge,Waiau River u/s SH1,ECAN,SQ34706,NA,P,2533286,5831982,NA,NA
2038,ECAN-00116,13086408,13018427,1623270.94249999,5270332.29199947,173.284212702636,-42.7191581335324,2013-2017,TN,Total nitrogen,g/m3,0.0928,0.1493,0.187,0.31,0.55,0.589,1.052,NA,NA,1.21,NA,NA,Does not meet,NA,CW/H,CW,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.0928,0.1493,0.187,0.31,0.55,0.589,1.052,1.21,NA,Waiau River,"Above SH1, Below Rail Bridge",Waiau River at Above SH1 Below rail Bridge,Waiau River u/s SH1,ECAN,SQ34706,NA,P,2533286,5831982,238,NA
2039,ECAN-00116,13086408,13018427,1623270.94249999,5270332.29199947,173.284212702636,-42.7191581335324,2013-2017,NH4N,Ammoniacal nitrogen,g/m3,0.00577,0.00688,0.00716,0.00756,0.00896,0.00932,0.01083,NA,NA,0.027,NA,NA,Does not meet,NA,CW/H,CW,H,Pastoral,58,0,46,0.01,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.01083,0.027,NA,Waiau River,"Above SH1, Below Rail Bridge",Waiau River at Above SH1 Below rail Bridge,Waiau River u/s SH1,ECAN,SQ34706,NA,P,2533286,5831982,6,NA
2040,ECAN-00116,13086408,13018427,1623270.94249999,5270332.29199947,173.284212702636,-42.7191581335324,2013-2017,NO3N,Nitrate-nitrogen,g/m3,0.0778,0.1373,0.182,0.285,0.51,0.547,0.918,NA,NA,1.1,NA,A,Does not meet,NA,CW/H,CW,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.0778,0.1373,0.182,0.285,0.51,0.547,0.918,1.1,NA,Waiau River,"Above SH1, Below Rail Bridge",Waiau River at Above SH1 Below rail Bridge,Waiau River u/s SH1,ECAN,SQ34706,NA,P,2533286,5831982,87,NA
2041,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,NH4N_adj,Ammoniacal nitrogen (adjusted),g/m3,0.00284,0.00288,0.00297,0.00312,0.00327,0.00338,0.00359,NA,NA,0.00563684587318458,NA,A,NA,NA,CD/H,CD,H,Pastoral,57,0,46,0.00497597624302168,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.00497597624302168,<0.00497597624302168,<0.00497597624302168,<0.00497597624302168,<0.00497597624302168,<0.00497597624302168,NA,0.00563684587318458,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,NA,NA
2042,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,NH4N,Ammoniacal nitrogen,g/m3,0.00623,0.00707,0.00728,0.00757,0.00855,0.00879,0.01003,NA,NA,0.015,NA,NA,Does not meet,NA,CD/H,CD,H,Pastoral,58,0,46,0.01,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.01003,0.015,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,6,NA
2043,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,ECOLI,E. coli,cfu/100mL,8.4,35.2,37,68,107,123.8,414.6,0.0344827586206897,0.0689655172413793,2420,NA,NA,NA,NA,CD/H,CD,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,8.4,35.2,37,68,107,123.8,414.6,2420,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,NA,NA
2044,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,DRP,Dissolved reactive phosphorus,g/m3,0.00118,0.00281,0.003,0.00445,0.0066,0.00736,0.01106,NA,NA,0.018,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,58,0,4,0.001,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.001,0.00281,0.003,0.00445,0.0066,0.00736,0.01106,0.018,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,6,NA
2045,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,TN,Total nitrogen,g/m3,0.224,0.26,0.27,0.325,0.42,0.475,0.784,NA,NA,0.83,NA,NA,Does not meet,NA,CD/H,CD,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.224,0.26,0.27,0.325,0.42,0.475,0.784,0.83,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,103,NA
2046,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,NO3N,Nitrate-nitrogen,g/m3,0.1288,0.1824,0.189,0.22,0.28,0.327,0.626,NA,NA,0.7,NA,A,Does not meet,NA,CD/H,CD,H,Pastoral,58,0,1,0.002,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,0.1288,0.1824,0.189,0.22,0.28,0.327,0.626,0.7,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,18,NA
2047,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,TP,Total phosphorus,g/m3,0.005,0.008,0.009,0.0115,0.015,0.0169,0.0312,NA,NA,0.154,NA,NA,Does not meet,NA,CD/H,CD,H,Pastoral,58,0,2,0.004,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,0.005,0.008,0.009,0.0115,0.015,0.0169,0.0312,0.154,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,9,NA
2048,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,TURB,Turbidity,NTU,0.67,1.061,1.25,1.785,4.1,4.7,13.42,NA,NA,51,NA,NA,Does not meet,NA,CD/H,CD,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.67,1.061,1.25,1.785,4.1,4.7,13.42,51,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,0.9,NA
2049,ECAN-00117,13183300,13516886,1358123.3067976,5069262.49619924,169.958016379993,-44.4894355649462,2013-2017,CLAR,Clarity,m,0.47,0.959,1.15,1.96,2.92,3.238,4.1,NA,NA,6.75,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,54,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.47,0.959,1.15,1.96,2.92,3.238,4.1,6.75,NA,Omarama Stream,Omarama (SH8),Omarama Stream at Omarama (SH8),Omarama Stream SH8,ECAN,SQ10005,NA,T,2268079,5630925,NA,1.3
2050,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,NO3N,Nitrate-nitrogen,g/m3,0.0616,0.0928,0.104,0.1725,0.24,0.289,0.372,NA,NA,0.52,NA,A,Does not meet,NA,CD/H,CD,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.0616,0.0928,0.104,0.1725,0.24,0.289,0.372,0.52,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,18,NA
2051,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,NH4N_adj,Ammoniacal nitrogen (adjusted),g/m3,0.00148,0.00148,0.00148,0.00148,0.00258,0.00266,0.00521,NA,NA,0.00591288591098403,NA,A,NA,NA,CD/H,CD,H,Pastoral,57,0,47,0.00573903998908931,NA,Not Imputed - model fit failed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.00573903998908931,<0.00573903998908931,<0.00573903998908931,<0.00573903998908931,<0.00573903998908931,<0.00573903998908931,NA,0.00591288591098403,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,NA,NA
2052,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,TURB,Turbidity,NTU,0.248,0.341,0.36,0.585,1.1,1.259,15.56,NA,NA,61,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.248,0.341,0.36,0.585,1.1,1.259,15.56,61,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,0.9,NA
2053,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,NH4N,Ammoniacal nitrogen,g/m3,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0075,NA,NA,0.01,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,58,0,48,0.005,NA,Not Imputed - model fit failed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.005,<0.005,<0.005,<0.005,<0.005,<0.005,0.0075,0.01,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,6,NA
2054,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,TP,Total phosphorus,g/m3,0.001,0.00213,0.00252,0.00389,0.005,0.0079,0.0276,NA,NA,0.089,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,58,0,27,0.004,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.004,<0.004,<0.004,<0.004,0.005,0.0079,0.0276,0.089,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,9,NA
2055,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,CLAR,Clarity,m,0.454,3.401,3.77,5.425,6.92,7.076,9.624,NA,NA,13.5,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,54,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.454,3.401,3.77,5.425,6.92,7.076,9.624,13.5,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,NA,1.3
2056,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,TN,Total nitrogen,g/m3,0.1432,0.1691,0.193,0.255,0.36,0.4,0.48,NA,NA,0.6,NA,NA,Does not meet,NA,CD/H,CD,H,Pastoral,58,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,TRUE,FALSE,FALSE,0.1432,0.1691,0.193,0.255,0.36,0.4,0.48,0.6,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,103,NA
2057,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,DRP,Dissolved reactive phosphorus,g/m3,0.00064,0.0011,0.0011,0.00205,0.0028,0.003,0.00536,NA,NA,0.008,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,58,0,11,0.001,NA,Imputed,No censored - no imputation required,TRUE,FALSE,FALSE,<0.001,0.0011,0.0011,0.00205,0.0028,0.003,0.00536,0.008,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,6,NA
2058,ECAN-00118,13207053,13522896,1417481.67109939,5030395.77099926,170.689990368707,-44.8564892125055,2013-2017,ECOLI,E. coli,cfu/100mL,12,28.6,38,107.5,260,321.3,1870.4,0.137931034482759,0.241379310344828,3318.19587872428,NA,NA,NA,NA,CD/H,CD,H,Pastoral,58,2,0,NA,NA,No censored - no imputation required,Imputed,TRUE,FALSE,FALSE,12,28.6,38,107.5,260,321.3,1870.4,NA,NA,Maerewhenua River,Duntroon,Maerewhenua River at Duntroon,Maerewhenua River SH83,ECAN,SQ10160,NA,P,2327396,5592066,NA,NA
2059,ECAN-00119,13204437,13522285,1403064.3539991,5034282.40389925,170.50919364857,-44.8176989846388,2013-2017,TN,Total nitrogen,g/m3,0.0257,0.0363,0.038,0.048,0.0755,0.0784,0.1229,NA,NA,0.164,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,44,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,FALSE,TRUE,FALSE,0.0257,0.0363,0.038,0.048,0.0755,0.0784,0.1229,0.164,NA,Otiake River,Mt Bell Station,Otiake River at Mt Bell Station,Otiake River Mt Bell Station,ECAN,SQ10167,NA,T,2312957,5595938,103,NA
2060,ECAN-00119,13204437,13522285,1403064.3539991,5034282.40389925,170.50919364857,-44.8176989846388,2013-2017,DRP,Dissolved reactive phosphorus,g/m3,0.00023,0.00041,0.00047,0.00078,0.0014,0.0015,0.003,NA,NA,0.003,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,44,0,29,0.001,NA,Imputed,No censored - no imputation required,FALSE,TRUE,FALSE,<0.001,<0.001,<0.001,<0.001,0.0014,0.0015,0.003,0.003,NA,Otiake River,Mt Bell Station,Otiake River at Mt Bell Station,Otiake River Mt Bell Station,ECAN,SQ10167,NA,T,2312957,5595938,6,NA
2061,ECAN-00119,13204437,13522285,1403064.3539991,5034282.40389925,170.50919364857,-44.8176989846388,2013-2017,TURB,Turbidity,NTU,0.14,0.2,0.22,0.36,0.525,0.612,4.75,NA,NA,7.1,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,44,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,FALSE,TRUE,FALSE,0.14,0.2,0.22,0.36,0.525,0.612,4.75,7.1,NA,Otiake River,Mt Bell Station,Otiake River at Mt Bell Station,Otiake River Mt Bell Station,ECAN,SQ10167,NA,T,2312957,5595938,0.9,NA
2062,ECAN-00119,13204437,13522285,1403064.3539991,5034282.40389925,170.50919364857,-44.8176989846388,2013-2017,TP,Total phosphorus,g/m3,0.00189,0.00263,0.00284,0.00329,0.00453,0.00489,0.0076,NA,NA,0.01,NA,NA,Meets,NA,CD/H,CD,H,Pastoral,44,0,32,0.004,NA,Imputed,No censored - no imputation required,FALSE,TRUE,FALSE,<0.004,<0.004,<0.004,<0.004,0.00453,0.00489,0.0076,0.01,NA,Otiake River,Mt Bell Station,Otiake River at Mt Bell Station,Otiake River Mt Bell Station,ECAN,SQ10167,NA,T,2312957,5595938,9,NA
